id,name,full,team,pos,price,sel%,pts_25_26,mins,starts,ppg,g,a,xG,xA,xGI90,xGC90,cs,bonus,bps,defcon,defcon90,ict,joined,status,news,cop_next,pens,sp,fk,ep_next,born
465,Osula,William Osula,NEW,FWD,6.0,1.6,76,805,8,3.2,7,1,4.28,0.62,0.55,1.62,2,13,284,31,3.47,62.2,2024-08-08,a,,,2,,,2.0,2003-08-04
222,Strand Larsen,Jørgen Strand Larsen,CRY,FWD,6.0,0.6,75,2301,26,2.1,4,1,5.3,1.12,0.25,1.41,5,3,215,95,3.72,91.5,2026-02-02,a,,,,,,2.0,2000-02-06
43,Tielemans,Youri Tielemans,MUN,MID,6.0,0.8,68,1857,21,2.7,0,4,1.14,3.26,0.22,1.52,4,3,417,203,9.84,113.1,2026-07-14,d,Hamstring injury - 75% chance of playing,75,3,,,1.6,1997-05-07
17,Merino,Mikel Merino Zazón,ARS,MID,6.0,1.2,67,1024,10,3.0,4,3,3.36,1.45,0.43,0.65,4,5,236,113,9.93,73.6,2024-08-27,a,,,,,,2.1,1996-06-22
209,Johnson,Brennan Johnson,CRY,MID,6.0,0.2,65,1710,19,1.9,2,1,2.45,1.31,0.2,1.49,6,2,217,121,6.37,75.8,2026-01-02,a,,,,,2,2.1,2001-05-23
121,Mitoma,Mitoma Kaoru,BHA,MID,6.0,0.2,62,1714,19,2.5,3,1,4.04,2.74,0.35,1.25,5,2,247,107,5.62,112.3,2021-08-09,i,Hamstring injury - Unknown return date,0,,,,0.0,1997-05-20
160,Garnacho,Alejandro Garnacho Ferreyra,AVL,MID,6.0,1.0,56,1261,14,2.3,1,4,3.44,3.68,0.51,1.46,4,3,222,71,5.07,100.5,2026-07-23,a,,,,,,2.1,2004-07-01
454,Elanga,Anthony Elanga,NEW,MID,6.0,0.7,48,1302,14,1.5,0,1,1.65,1.74,0.23,1.46,2,0,179,55,3.8,57.8,2025-07-11,a,,,,8,,2.1,2002-04-27
369,Ngumoha,Rio Ngumoha,LIV,MID,6.0,1.7,43,547,5,2.3,2,1,1.34,2.01,0.55,1.47,2,4,188,30,4.94,60.1,2024-12-17,a,,,,,,2.1,2008-08-29
70,Kluivert,Justin Kluivert,BOU,MID,6.0,1.1,41,945,10,2.0,2,0,2.31,1.55,0.37,1.71,4,3,147,65,6.19,58.8,2023-07-01,a,,,2,,2,2.1,1999-05-05
490,Wood,Chris Wood,NFO,FWD,6.0,1.8,41,896,11,2.7,3,0,4.29,0.32,0.46,1.45,2,4,145,29,2.91,48.0,2023-07-01,a,,,1,,,2.0,1991-12-07
526,Solanke,Dominic Solanke-Mitchell,TOT,FWD,6.0,2.7,40,997,11,2.7,3,0,2.97,0.34,0.3,1.61,0,4,187,71,6.41,62.7,2024-08-10,a,,,1,,,2.0,1997-09-14
464,Wissa,Yoane Wissa,NEW,FWD,6.0,1.3,27,517,4,1.4,1,1,3.13,0.54,0.63,1.74,1,0,70,22,3.83,25.5,2025-09-01,a,,,4,,,2.0,1996-09-03
158,Gittens,Jamie Bynoe-Gittens,CHE,MID,6.0,0.1,25,486,5,1.6,0,2,0.81,0.94,0.32,1.65,1,0,99,29,5.37,31.3,2025-07-05,a,,,,,,2.1,2004-08-08
27,G.Jesus,Gabriel Fernando de Jesus,ARS,FWD,6.0,0.4,24,418,3,1.7,3,0,2.71,0.26,0.64,0.85,1,0,92,30,6.46,47.5,2022-07-04,a,,,,,,2.0,1997-04-03
53,Manzambi,Johan Manzambi,AVL,MID,6.0,2.3,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,2026-07-17,a,,,,,,2.1,2005-10-14
81,Rodríguez,Álvaro Rodríguez,BOU,FWD,6.0,0.3,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,2026-07-14,a,,,,,,2.0,2004-07-14
105,Anthony,Jaidon Anthony,BRE,MID,6.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,232,0,0.0,2026-07-07,a,,,,,,2.1,1999-12-01
569,García,Gonzalo García,FUL,FWD,6.0,0.8,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,2026-08-03,a,,,,,,2.0,2004-03-24
461,Touré,Bazoumana Touré,NEW,MID,6.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,2026-07-05,a,,,,,,2.1,2006-03-02
61,Truffert,Adrien Truffert,BOU,DEF,5.5,4.7,165,3378,38,4.3,1,6,1.35,3.07,0.12,1.45,11,19,607,301,8.02,162.6,2025-06-16,a,,,,,,2.5,2001-11-20
533,Mukiele,Nordi Mukiele,SUN,DEF,5.5,7.7,151,2784,32,4.7,3,5,1.62,2.65,0.14,1.45,9,11,489,273,8.83,132.9,2025-08-17,a,,,,,,2.5,1997-11-01
143,Chalobah,Trevoh Chalobah,CHE,DEF,5.5,2.0,136,2780,31,4.0,3,1,1.44,1.03,0.08,1.32,9,7,516,265,8.58,99.1,2018-02-16,a,,,,,,2.5,1999-07-05
201,Muñoz,Daniel Muñoz Mejía,CRY,DEF,5.5,11.8,136,2400,29,4.7,4,4,2.45,3.94,0.24,1.29,10,9,469,196,7.35,139.5,2024-01-30,a,,,,,,2.5,1996-05-26
226,Pickford,Jordan Pickford,EVE,GKP,5.5,9.0,135,3420,38,3.6,0,0,0.0,0.2,0.01,1.48,11,11,545,0,0.0,90.8,2017-07-01,a,,,,,,3.3,1994-03-07
384,Donnarumma,Gianluigi Donnarumma,MCI,GKP,5.5,11.1,135,3060,34,4.0,0,0,0.0,0.13,0.0,1.13,15,5,567,0,0.0,68.0,2025-09-01,a,,,,,,3.3,1999-02-25
338,Ampadu,Ethan Ampadu,LEE,MID,5.5,1.5,134,3119,35,3.8,1,4,2.47,2.2,0.13,1.4,8,11,586,416,12.0,114.7,2023-07-19,a,,,,,,2.0,2000-09-14
19,Zubimendi,Martín Zubimendi Ibáñez,ARS,MID,5.5,1.5,133,2991,34,3.5,5,1,2.84,2.27,0.16,0.79,16,9,604,307,9.24,126.2,2025-07-06,a,,,,,,2.0,1999-02-02
84,Collins,Nathan Collins,BRE,DEF,5.5,2.0,129,2971,32,3.7,1,2,2.24,1.71,0.12,1.44,9,7,450,319,9.66,131.9,2023-07-04,a,,,,,,2.5,2001-04-30
337,Aaronson,Brenden Aaronson,LEE,MID,5.5,0.8,126,2449,30,3.4,4,8,4.53,3.6,0.3,1.36,9,5,446,216,7.94,146.7,2022-07-01,a,,,,,3,2.0,2000-10-22
544,Xhaka,Granit Xhaka,SUN,MID,5.5,5.8,124,2901,32,3.6,1,6,1.01,3.73,0.15,1.42,9,8,603,362,11.23,138.1,2025-07-30,a,,,,4,1,2.0,1992-09-27
471,Milenković,Nikola Milenković,NFO,DEF,5.5,2.3,119,3375,37,3.1,0,1,0.83,0.68,0.04,1.47,9,2,401,311,8.29,86.9,2024-07-18,a,,,,,,2.5,1997-10-12
499,Pedro Porro,Pedro Porro Sauceda,TOT,DEF,5.5,23.8,117,2793,32,3.4,1,3,1.05,4.37,0.17,1.22,9,8,502,218,7.02,177.5,2023-07-01,a,,,,6,1,2.5,1999-09-13
86,Lewis-Potter,Keane Lewis-Potter,BRE,MID,5.5,0.5,115,1960,22,3.2,3,4,3.01,2.51,0.26,1.55,9,5,356,74,3.4,106.4,2022-07-12,a,,,,,1,2.0,2001-02-22
142,James,Reece James,CHE,DEF,5.5,8.0,115,1957,20,4.0,2,6,1.04,3.2,0.2,1.32,8,11,493,128,5.89,106.1,2019-05-15,a,,,,5,1,2.5,1999-12-08
96,Damsgaard,Mikkel Damsgaard,BRE,MID,5.5,0.7,113,2046,24,3.4,4,4,2.61,5.43,0.35,1.39,5,9,467,241,10.6,155.0,2022-08-10,a,,,,6,3,2.0,2000-07-03
390,Rúben,Rúben dos Santos Gato Alves Dias,MCI,DEF,5.5,1.4,113,2139,24,4.3,2,0,0.57,0.65,0.05,1.1,12,4,453,167,7.03,81.0,2020-09-29,a,,,,,,2.5,1997-05-14
210,Wharton,Adam Wharton,CRY,MID,5.5,0.2,112,2552,29,3.3,1,6,1.52,7.47,0.31,1.38,8,8,511,303,10.69,139.6,2024-02-01,d,Ankle injury - 75% chance of playing,75,,5,,1.5,2004-02-06
60,Hill,James Hill,BOU,DEF,5.5,1.3,110,2102,22,3.8,0,3,0.89,1.16,0.09,1.43,8,4,386,260,11.13,86.3,2022-01-05,a,,,,,,2.5,2002-01-10
159,Caicedo,Moisés Caicedo Corozo,CHE,MID,5.5,3.7,110,2796,32,3.3,3,1,1.45,2.38,0.13,1.37,6,10,580,366,11.78,109.2,2023-08-14,a,,,,,,2.0,2001-11-02
8,Calafiori,Riccardo Calafiori,ARS,DEF,5.5,16.0,109,1697,22,4.2,1,2,3.36,0.76,0.22,0.52,13,6,389,102,5.41,77.9,2024-07-29,a,,,,,,2.5,2002-05-19
372,Mac Allister,Alexis Mac Allister,LIV,MID,5.5,1.9,108,2654,31,2.9,2,5,3.89,1.69,0.19,1.25,7,9,490,229,7.77,139.9,2023-06-14,a,,,5,,,2.0,1998-12-24
248,Beto,Norberto Bercique Gomes Betuncal,EVE,FWD,5.5,3.2,104,1551,17,2.8,9,1,8.9,0.23,0.53,1.4,5,15,343,89,5.16,124.5,2023-08-29,a,,,4,,,1.8,1998-01-31
45,McGinn,John McGinn,AVL,MID,5.5,2.7,103,2136,28,3.4,5,4,3.0,4.11,0.3,1.39,8,6,443,150,6.32,137.3,2018-08-08,a,,,,6,,2.0,1994-10-18
261,Iwobi,Alex Iwobi,FUL,MID,5.5,0.9,103,2420,29,3.6,4,3,1.91,4.7,0.24,1.33,5,13,508,188,6.99,159.4,2023-09-01,a,,,2,4,1,2.0,1996-05-03
97,Jensen,Mathias Jensen,BRE,MID,5.5,0.1,98,2239,26,2.7,3,2,2.21,6.06,0.33,1.44,9,1,465,220,8.84,126.9,2019-07-10,a,,,3,5,2,2.0,1996-01-01
129,Ayari,Yasin Ayari,BHA,MID,5.5,0.5,98,1921,20,3.4,3,4,2.7,1.15,0.18,1.26,6,7,406,225,10.54,84.5,2023-01-30,a,,,,8,1,2.0,2003-10-06
249,Barry,Thierno Barry,EVE,FWD,5.5,0.9,95,1898,21,2.5,8,0,8.17,0.44,0.41,1.59,7,9,295,74,3.51,102.5,2025-07-09,a,,,2,,,1.8,2002-10-21
