id,name,full_name,team,team_id,pos,pos_id,price,proj_gw,proj_6gw,proj_by_gw,mins_proj,value,sel_pct,pts_last,mins_last,ppg_last,goals_last,assists_last,xgi90_last,defcon_last,cs_last,bonus_last,status,news,chance,joined,is_new,pens,corners,fk,fdr6,cs_rate,note,pts_now,mins_now,starts_now,games_now,xg90,xa90,dc90,start_rate,start_by_gw,play_by_gw,mins_by_gw,availability_by_gw,availability_source,availability_confidence,evidence,seasons
391,Gvardiol,Joško Gvardiol,MCI,15,DEF,2,5.7,4.533,27.2,"[0.0, 0.0, 0.0, 0.0, 4.994, 3.815, 5.547, 4.151, 4.408, 4.287]",80,4.7719,24.5,79,1370,2.08,2,2,0.194,103,6,5,a,,,2023-08-05,False,,,,17,0.392,,33,344,4,4,0.1223,0.0675,6.813,0.91,"[0.0, 0.0, 0.0, 0.0, 0.91, 0.91, 0.91, 0.91, 0.91, 0.91]","[0.0, 0.0, 0.0, 0.0, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928]","[0.0, 0.0, 0.0, 0.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.909869, 'p_play': 0.927895, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.4, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.909869, 'p_play': 0.927895, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.4, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.909869, 'p_play': 0.927895, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.4, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.909869, 'p_play': 0.927895, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.4, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.909869, 'p_play': 0.927895, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.4, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.909869, 'p_play': 0.927895, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.4, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.94,3
445,Thiaw,Malick Thiaw,NEW,17,DEF,2,5.0,4.532,27.19,"[0.0, 0.0, 0.0, 0.0, 5.158, 5.451, 4.128, 4.046, 4.431, 3.978]",86,5.438,2.2,126,2963,3.32,4,0,0.175,292,5,12,a,,,2025-08-12,False,,,,16,0.336,,10,360,4,4,0.1234,0.0313,8.356,0.964,"[0.0, 0.0, 0.0, 0.0, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964]","[0.0, 0.0, 0.0, 0.0, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971]","[0.0, 0.0, 0.0, 0.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.964171, 'p_play': 0.971337, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.964171, 'p_play': 0.971337, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.964171, 'p_play': 0.971337, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.964171, 'p_play': 0.971337, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.964171, 'p_play': 0.971337, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.964171, 'p_play': 0.971337, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.91,1
368,Szoboszlai,Dominik Szoboszlai,LIV,14,MID,3,7.0,4.513,27.08,"[0.0, 0.0, 0.0, 0.0, 4.586, 4.31, 4.563, 4.866, 3.984, 4.773]",81,3.8686,35.3,160,3232,4.21,6,7,0.323,338,9,21,a,,,2023-07-02,False,1,1,1,19,0.237,FPL set-piece listing — penalties: order 1; corners: order 1; direct free kicks: order 1.,18,360,4,4,0.1747,0.1937,8.587,0.943,"[0.0, 0.0, 0.0, 0.0, 0.943, 0.943, 0.943, 0.943, 0.943, 0.943]","[0.0, 0.0, 0.0, 0.0, 0.954, 0.954, 0.954, 0.954, 0.954, 0.954]","[0.0, 0.0, 0.0, 0.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.942648, 'p_play': 0.954119, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 85.7, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.942648, 'p_play': 0.954119, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 85.7, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.942648, 'p_play': 0.954119, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 85.7, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.942648, 'p_play': 0.954119, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 85.7, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.942648, 'p_play': 0.954119, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 85.7, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.942648, 'p_play': 0.954119, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 85.7, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.95,3
464,Wissa,Yoane Wissa,NEW,17,FWD,4,6.2,4.508,27.05,"[0.0, 0.0, 0.0, 0.0, 4.852, 4.8, 4.523, 4.364, 4.295, 4.214]",77,4.3629,18.4,27,517,0.71,1,1,0.639,22,1,0,a,,,2025-09-01,False,2,,,16,0.336,FPL set-piece listing — penalties: order 2.,15,351,4,4,0.4569,0.0626,4.294,0.914,"[0.0, 0.0, 0.0, 0.0, 0.914, 0.914, 0.914, 0.914, 0.914, 0.914]","[0.0, 0.0, 0.0, 0.0, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931]","[0.0, 0.0, 0.0, 0.0, 77.2, 77.2, 77.2, 77.2, 77.2, 77.2]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.913515, 'p_play': 0.930812, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 84.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.913515, 'p_play': 0.930812, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 84.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.913515, 'p_play': 0.930812, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 84.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.913515, 'p_play': 0.930812, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 84.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.913515, 'p_play': 0.930812, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 84.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.913515, 'p_play': 0.930812, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 84.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.94,4
480,Gibbs-White,Morgan Gibbs-White,NFO,18,MID,3,8.0,4.447,26.68,"[0.0, 0.0, 0.0, 0.0, 5.404, 4.427, 3.723, 4.882, 4.231, 4.01]",84,3.335,13.9,188,3101,4.95,15,4,0.398,178,10,18,a,,100,2022-08-19,False,1,,1,18,0.312,FPL set-piece listing — penalties: order 1; direct free kicks: order 1.,26,360,4,4,0.2392,0.1363,6.545,0.97,"[0.0, 0.0, 0.0, 0.0, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97]","[0.0, 0.0, 0.0, 0.0, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976]","[0.0, 0.0, 0.0, 0.0, 83.6, 83.6, 83.6, 83.6, 83.6, 83.6]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.96,4
229,Tarkowski,James Tarkowski,EVE,9,DEF,2,6.1,4.423,26.54,"[0.0, 0.0, 0.0, 0.0, 5.003, 4.796, 4.06, 3.199, 3.727, 5.751]",86,4.3508,13.8,170,3330,4.47,2,3,0.125,376,11,12,a,,,2022-07-01,False,,,,18,0.36,,29,360,4,4,0.0586,0.0578,9.78,0.97,"[0.0, 0.0, 0.0, 0.0, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97]","[0.0, 0.0, 0.0, 0.0, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976]","[0.0, 0.0, 0.0, 0.0, 86.5, 86.5, 86.5, 86.5, 86.5, 86.5]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.97, 'p_play': 0.976, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 89.0, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.96,4
70,Kluivert,Justin Kluivert,BOU,3,MID,3,6.0,4.4,26.4,"[0.0, 0.0, 0.0, 0.0, 4.331, 4.182, 4.456, 4.11, 4.45, 4.866]",76,4.4,1.0,41,945,1.08,2,0,0.368,65,4,3,a,,,2023-07-01,False,2,3,2,18,0.262,FPL set-piece listing — penalties: order 2; corners: order 3; direct free kicks: order 2.,15,294,4,4,0.2984,0.1192,6.741,0.957,"[0.0, 0.0, 0.0, 0.0, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957]","[0.0, 0.0, 0.0, 0.0, 0.966, 0.966, 0.966, 0.966, 0.966, 0.966]","[0.0, 0.0, 0.0, 0.0, 75.9, 75.9, 75.9, 75.9, 75.9, 75.9]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.957239, 'p_play': 0.965791, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 79.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.957239, 'p_play': 0.965791, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 79.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.957239, 'p_play': 0.965791, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 79.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.957239, 'p_play': 0.965791, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 79.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.957239, 'p_play': 0.965791, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 79.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.957239, 'p_play': 0.965791, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 79.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.92,3
542,E.Le Fée,Enzo Le Fée,SUN,20,MID,3,5.8,4.357,26.14,"[0.0, 0.0, 0.0, 0.0, 3.817, 4.394, 4.2, 4.418, 4.858, 4.454]",83,4.5069,3.8,147,2930,3.87,5,6,0.343,319,10,16,a,,,2025-07-01,False,2,1,3,18,0.302,FPL set-piece listing — penalties: order 2; corners: order 1; direct free kicks: order 3.,13,348,4,4,0.1909,0.1747,8.991,0.966,"[0.0, 0.0, 0.0, 0.0, 0.966, 0.966, 0.966, 0.966, 0.966, 0.966]","[0.0, 0.0, 0.0, 0.0, 0.973, 0.973, 0.973, 0.973, 0.973, 0.973]","[0.0, 0.0, 0.0, 0.0, 83.4, 83.4, 83.4, 83.4, 83.4, 83.4]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.965848, 'p_play': 0.972678, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.965848, 'p_play': 0.972678, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.965848, 'p_play': 0.972678, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.965848, 'p_play': 0.972678, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.965848, 'p_play': 0.972678, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.965848, 'p_play': 0.972678, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 86.1, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.91,1
124,Groß,Pascal Groß,BHA,5,MID,3,5.7,4.307,25.84,"[0.0, 0.0, 0.0, 0.0, 3.827, 4.353, 4.878, 4.231, 3.89, 4.66]",80,4.5333,20.0,78,1636,2.05,1,6,0.294,145,6,10,a,,,2026-01-02,False,1,1,1,22,0.236,FPL set-piece listing — penalties: order 1; corners: order 1; direct free kicks: order 1.,33,360,4,4,0.1498,0.2152,7.954,0.907,"[0.0, 0.0, 0.0, 0.0, 0.907, 0.907, 0.907, 0.907, 0.907, 0.907]","[0.0, 0.0, 0.0, 0.0, 0.926, 0.926, 0.926, 0.926, 0.926, 0.926]","[0.0, 0.0, 0.0, 0.0, 79.9, 79.9, 79.9, 79.9, 79.9, 79.9]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.907438, 'p_play': 0.92595, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.5, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.907438, 'p_play': 0.92595, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.5, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.907438, 'p_play': 0.92595, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.5, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.907438, 'p_play': 0.92595, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.5, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.907438, 'p_play': 0.92595, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.5, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.907438, 'p_play': 0.92595, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 87.5, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.93,3
569,Gonzalo,Gonzalo García,FUL,10,FWD,4,6.0,4.222,25.33,"[0.0, 0.0, 0.0, 0.0, 4.128, 4.401, 4.384, 4.342, 3.864, 4.213]",77,4.2217,3.6,0,0,0.0,0,0,0,0,0,0,a,,,2026-08-03,True,1,,,16,0.33,FPL set-piece listing — penalties: order 1.,12,346,4,4,0.4486,0.0677,4.205,0.933,"[0.0, 0.0, 0.0, 0.0, 0.933, 0.933, 0.933, 0.933, 0.933, 0.933]","[0.0, 0.0, 0.0, 0.0, 0.947, 0.947, 0.947, 0.947, 0.947, 0.947]","[0.0, 0.0, 0.0, 0.0, 77.1, 77.1, 77.1, 77.1, 77.1, 77.1]","[None, None, None, None, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.933226, 'p_play': 0.946581, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 82.3, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.933226, 'p_play': 0.946581, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 82.3, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.933226, 'p_play': 0.946581, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 82.3, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.933226, 'p_play': 0.946581, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 82.3, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.933226, 'p_play': 0.946581, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 82.3, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}, {'source': 'model baseline', 'confidence': 'model', 'note': '', 'fixtures': 1, 'p_start': 0.933226, 'p_play': 0.946581, 'probability_basis': 'per fixture; independent across fixtures', 'p_cameo': 0.2, 'start_minutes': 82.3, 'cameo_minutes': 25.0, 'last_updated': None, 'from_gw': None, 'through_gw': None, 'generation_rule': None}]",model baseline,model,0.51,0
