id,price,sel_pct,tin,tout,dcost_event,status
1,6.1,42.2,106812,35601,1,a
2,4.9,0.1,80,185,0,a
3,4.9,0.0,37,91,0,a
4,8.0,22.8,18188,54420,0,a
5,6.5,0.4,9430,3001,0,a
6,5.9,0.2,292,862,0,i
7,5.4,0.6,684,4225,-1,a
8,5.8,50.6,59652,50393,0,a
9,5.2,0.9,1093,4781,-1,a
10,5.5,5.0,3125,54814,0,d
11,5.3,1.7,915,7521,0,a
12,9.5,13.5,79490,37100,0,a
13,7.4,11.9,7008,57742,0,d
14,6.3,1.0,1628,5430,0,a
15,6.8,19.8,59476,72906,0,a
16,6.2,0.2,577,1286,0,a
17,5.8,0.4,521,2372,0,a
18,6.3,0.1,0,425,0,u
19,5.3,0.6,378,3034,0,a
20,5.3,0.1,352,447,0,a
22,5.4,0.0,0,43,0,u
23,5.5,0.0,0,31,0,u
24,5.5,0.0,0,15,0,u
25,7.1,3.1,4468,13214,-1,a
26,7.6,8.5,45949,37535,0,a
27,5.9,0.1,0,741,0,u
31,4.6,19.4,74895,35585,1,a
452,6.7,1.8,4079,6067,0,a
557,6.3,12.3,9319,123369,-1,a
29,4.5,0.1,43,819,0,i
30,4.5,0.0,0,173,0,u
32,4.4,4.9,2131,21020,0,a
33,4.5,0.4,1325,1089,0,a
34,4.5,0.3,30,2611,0,i
35,4.9,0.1,142,366,-1,a
36,4.4,0.5,44,5169,-1,i
37,4.5,0.3,763,1007,0,a
38,4.0,1.5,1455,4906,0,a
39,4.0,0.1,0,429,0,u
41,5.9,1.0,9614,3159,0,a
44,5.4,0.1,0,388,0,u
45,5.4,2.2,5367,6734,0,a
46,5.0,0.3,443,1457,0,a
47,5.0,0.3,1013,1263,0,a
48,4.9,0.0,29,74,0,i
49,5.0,0.0,0,9,0,u
50,4.5,0.6,497,2755,0,a
51,4.5,1.2,2573,8138,0,a
52,5.0,0.0,59,649,0,d
53,5.9,0.4,24090,2145,0,a
54,5.5,0.0,345,139,0,a
55,7.8,2.5,0,9441,0,u
56,5.5,0.2,1266,1377,0,a
160,5.8,0.3,395,2270,0,a
166,6.5,1.4,27492,5977,0,a
582,5.4,0.2,147,1502,0,i
596,4.5,0.1,418,260,0,a
597,5.0,1.9,11240,5055,0,a
606,4.0,0.2,239,737,0,a
607,4.5,0.1,0,560,0,u
611,4.5,0.2,1157,1150,0,a
618,5.9,0.0,16,349,0,i
630,4.5,0.0,141,137,0,a
631,6.0,0.1,705,960,0,a
667,4.0,0.1,5266,481,0,a
57,4.5,3.0,4649,8582,0,a
58,4.0,3.5,6664,5585,0,a
