id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,37.4,184508,205647,0,a
2,5.0,0.1,570,1138,0,a
3,5.0,0.0,163,435,0,a
4,8.0,25.3,43509,312187,0,a
5,6.5,0.1,510,2322,0,i
6,6.0,0.2,1075,5300,0,i
7,5.5,0.7,8247,12417,0,a
8,5.7,44.4,470665,103682,1,a
9,5.4,1.2,4279,33140,0,a
10,5.5,7.2,149482,102312,0,a
11,5.5,4.6,13437,97060,0,d
12,9.5,10.9,129827,90512,0,a
13,7.5,14.3,20421,227782,0,a
14,6.4,1.4,7640,37700,-1,a
15,6.6,11.0,111423,155849,0,a
16,6.3,0.2,1175,7440,-1,a
17,5.9,0.5,2932,13212,-1,a
18,6.3,0.2,1165,5898,-1,u
19,5.4,0.8,3381,18544,-1,a
20,5.4,0.1,582,1871,0,a
22,5.4,0.0,157,388,-1,u
23,5.5,0.0,175,281,0,u
24,5.5,0.0,4,287,0,u
25,7.3,4.7,7739,182584,-1,a
26,7.5,6.7,67573,127008,0,a
27,5.9,0.3,2250,10314,-1,u
31,4.4,10.7,231344,183583,-1,a
452,6.8,2.1,5422,57045,-1,d
557,6.5,19.4,88400,584198,0,a
29,4.5,0.1,2192,2209,0,a
30,4.5,0.1,0,1999,0,u
32,4.5,7.0,37546,71198,0,a
33,4.5,0.4,2499,4538,0,a
34,4.5,0.4,4706,3989,0,a
35,5.0,0.1,892,1181,0,a
36,4.5,0.8,9912,7878,0,a
37,4.5,0.3,2975,2782,0,a
38,4.0,1.8,14999,15584,0,a
39,4.0,0.2,0,3772,0,u
41,6.0,1.2,17490,21844,0,a
44,5.4,0.1,1094,3207,-1,u
45,5.4,2.4,15126,41038,-1,a
46,5.0,0.3,5239,3715,0,a
47,5.0,0.3,4751,5386,0,a
48,5.0,0.0,136,546,0,i
49,5.0,0.0,0,61,0,u
50,4.5,0.7,8112,8534,0,a
51,4.5,1.0,32906,13113,0,a
52,5.0,0.0,779,876,0,a
53,5.9,0.1,324,4868,-1,i
54,5.5,0.0,86,1113,0,s
55,7.8,4.4,4250,284291,-1,u
56,5.5,0.1,4389,2571,0,a
160,5.9,0.4,2406,11215,-1,a
166,6.5,1.0,39961,8049,0,a
582,5.5,0.3,866,8666,0,i
596,4.5,0.1,710,1577,0,a
597,5.0,1.3,29676,10281,0,a
606,4.0,0.2,6081,1592,0,a
607,4.5,0.1,3500,2099,0,u
611,4.5,0.1,6253,1518,0,a
618,6.0,0.0,3265,793,0,a
630,4.5,0.0,803,148,0,a
631,6.0,0.0,3401,503,0,a
57,4.5,3.4,42238,31820,0,a
58,4.0,3.5,34432,19311,0,a
59,4.0,0.2,0,2636,0,u
60,5.5,0.8,6571,10716,0,a
61,5.5,3.8,11061,38485,0,a
62,5.0,0.2,1629,3707,0,a
63,5.0,0.0,81,229,0,i
64,4.5,0.1,1516,1931,0,a
