id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,40.9,210185,43434,0,a
2,4.9,0.1,144,450,0,a
3,4.9,0.0,63,171,0,a
4,8.0,23.3,35461,81863,0,a
5,6.5,0.2,14861,2680,0,a
6,5.9,0.2,350,1715,0,i
7,5.5,0.6,2584,8386,0,a
8,5.8,50.2,200008,54976,0,a
9,5.3,0.9,2118,12765,0,a
10,5.5,6.0,17769,168331,0,d
11,5.3,1.8,144,64958,-1,d
12,9.5,12.6,140603,44537,0,a
13,7.4,12.6,21885,60928,0,a
14,6.3,1.1,2467,14119,0,a
15,6.7,19.6,238976,89824,0,a
16,6.2,0.2,919,2929,-1,a
17,5.8,0.4,1099,5235,0,a
18,6.3,0.1,0,1261,0,u
19,5.3,0.6,1211,7137,-1,a
20,5.3,0.1,726,873,0,a
22,5.4,0.0,0,96,0,u
23,5.5,0.0,0,74,0,u
24,5.5,0.0,0,51,0,u
25,7.2,3.3,3439,42783,0,a
26,7.6,8.0,78264,74495,1,a
27,5.9,0.2,0,1954,0,u
31,4.5,18.4,239055,44366,0,a
452,6.7,1.8,12910,7385,-1,a
557,6.4,14.2,27871,195011,0,a
29,4.5,0.1,377,1010,0,d
30,4.5,0.1,0,347,0,u
32,4.4,5.2,1828,93563,-1,a
33,4.5,0.4,2370,3718,0,a
34,4.5,0.3,219,6239,0,d
35,5.0,0.1,399,764,0,a
36,4.5,0.6,523,20435,0,d
37,4.5,0.3,2353,2577,0,a
38,4.0,1.6,5803,10656,0,a
39,4.0,0.1,0,952,0,u
41,5.9,0.9,4007,15265,0,a
44,5.4,0.1,0,1300,0,u
45,5.4,2.2,12871,16252,0,a
46,5.0,0.3,1798,2855,0,a
47,5.0,0.3,1542,3505,0,a
48,4.9,0.0,50,173,-1,i
49,5.0,0.0,0,18,0,u
50,4.5,0.6,1631,5487,0,a
51,4.5,1.3,10745,12032,0,a
52,5.0,0.1,1221,449,0,a
53,5.9,0.1,1420,783,0,a
54,5.5,0.0,384,230,0,d
55,7.8,2.7,0,27411,0,u
56,5.5,0.2,2415,2115,0,a
160,5.8,0.3,676,5539,-1,a
166,6.5,1.2,11250,24794,0,a
582,5.4,0.2,210,3251,-1,i
596,4.5,0.1,447,875,0,a
597,5.0,1.8,11851,13128,0,a
606,4.0,0.2,1447,1308,0,a
607,4.5,0.1,0,1154,0,u
611,4.5,0.2,3511,1638,0,a
618,5.9,0.0,35,1178,-1,i
630,4.5,0.0,256,276,0,a
631,6.0,0.1,1805,1036,0,a
57,4.5,3.1,4984,18655,0,a
58,4.0,3.5,16028,10771,0,a
59,4.0,0.1,0,771,0,u
60,5.5,0.8,2476,7882,0,a
61,5.5,3.2,4556,23609,0,a
62,5.0,0.2,715,1783,0,a
63,4.9,0.0,46,77,-1,i
64,4.5,0.1,615,1419,0,a
65,4.4,0.0,68,123,0,i
66,4.0,0.3,1848,1860,0,a
67,6.4,1.7,2884,26140,0,a
68,6.1,5.9,233138,38383,1,a
69,6.1,5.8,55937,55804,0,a
70,6.0,1.0,9744,7264,0,a
71,5.0,0.2,623,2804,0,a
72,4.9,0.1,245,609,0,a
73,5.0,0.3,2354,3094,0,a
74,5.0,0.1,373,683,0,a
75,5.0,0.0,438,479,0,a
76,4.9,0.0,43,101,-1,a
77,4.9,0.0,21,175,0,i
78,7.4,0.2,116,1437,0,i
79,6.0,3.3,31745,31508,0,a
80,5.5,0.0,0,92,0,u
81,6.0,0.1,655,1050,0,a
566,5.0,0.4,1563,4159,0,a
573,4.4,0.2,236,952,-1,a
608,5.0,0.1,1529,1553,0,a
615,4.5,0.0,282,427,0,a
82,5.0,6.2,7044,45346,0,a
83,4.5,0.1,233,635,0,a
84,5.4,1.1,88,29102,-1,i
85,4.9,0.1,25,600,0,i
86,5.5,1.8,4505,30422,0,a
87,4.5,4.2,6886,44274,0,a
88,4.6,7.9,14467,101043,0,a
89,4.4,0.2,318,1217,-1,a
90,4.5,0.1,247,465,0,a
92,4.5,0.0,52,124,0,a
93,4.5,0.1,238,624,0,a
94,6.1,6.7,305064,37463,1,a
95,6.3,0.5,601,9848,-1,a
96,5.5,0.4,991,5530,0,a
97,5.4,0.1,11,1291,0,i
98,5.0,2.5,32353,23546,0,a
99,5.0,0.0,14,22,0,i
100,5.0,0.0,196,267,0,a
102,4.8,0.7,1241,6253,-1,a
103,4.9,0.0,7,214,0,i
105,5.9,0.1,427,1564,-1,a
106,7.9,9.2,12048,157123,0,a
107,4.5,1.0,5982,14389,0,i
108,5.5,0.3,1183,4529,0,a
565,5.7,11.7,21486,140929,0,a
620,4.5,0.1,842,1315,0,a
657,4.5,0.0,1536,341,0,a
109,4.5,21.7,64317,90474,0,a
111,4.0,4.2,13790,15068,0,a
113,4.4,1.6,3264,11863,0,a
114,4.5,0.3,1000,1685,0,a
115,4.9,24.2,313009,79407,1,a
116,4.5,1.5,21327,7861,0,a
117,4.5,0.0,151,175,0,a
118,4.5,0.0,0,691,0,u
119,4.5,0.0,162,232,0,a
120,5.0,0.1,534,755,0,a
121,5.9,0.0,46,240,0,i
122,5.9,0.0,22,386,0,i
123,5.9,0.7,103,21155,-1,i
124,5.7,19.9,435366,67034,1,a
125,5.4,0.5,1430,8952,0,a
126,5.4,0.1,464,980,-1,a
127,5.0,4.4,9938,50868,0,a
128,5.0,0.0,0,13,0,u
129,5.4,0.4,2656,2940,0,a
130,4.9,0.2,43,5417,-1,i
132,4.5,0.0,0,314,0,u
133,5.0,0.0,0,8,0,u
134,4.5,0.3,772,2215,0,a
135,4.9,0.0,25,900,0,i
137,5.4,0.0,44,67,-1,i
138,5.5,0.8,37401,9768,0,a
139,5.0,0.0,197,320,0,i
328,4.9,0.2,499,1903,-1,a
504,5.0,3.2,21900,23589,0,a
594,6.0,0.2,1628,3825,0,a
600,5.0,0.0,124,175,0,a
605,4.5,3.9,91840,29255,0,a
614,4.5,0.0,347,528,0,a
624,5.0,0.0,0,9,0,u
639,5.5,0.0,364,177,0,a
652,5.5,0.0,50,40,0,d
658,4.5,0.0,1003,208,0,a
28,5.0,4.9,15710,41708,0,a
40,7.7,38.6,497738,42897,1,a
101,4.9,0.0,30,350,0,d
136,5.9,0.8,9504,9263,0,a
140,4.9,0.8,0,11386,0,u
141,5.0,0.0,0,45,0,u
142,5.4,7.1,15932,82422,0,a
143,5.5,0.1,0,586,0,u
144,5.0,1.0,3244,10743,0,a
145,5.0,0.2,2360,2508,0,a
146,4.5,0.0,0,106,0,u
148,4.5,0.9,3612,15369,0,a
149,4.9,0.9,1450,13854,0,a
150,4.5,0.0,0,344,0,u
151,4.5,0.4,1111,4563,0,a
152,5.3,0.7,169,14827,-1,d
154,9.7,26.8,124823,116075,0,a
156,6.5,1.4,10696,16122,0,a
157,6.3,0.7,2218,8146,-1,a
158,5.9,0.0,148,333,0,a
159,5.3,1.2,475,24882,-1,d
161,5.0,0.2,2094,3394,0,a
163,4.5,0.1,0,1548,0,u
164,5.3,0.0,126,428,-1,a
165,7.8,73.5,230486,185274,1,d
