id,price,sel_pct,tin,tout,dcost_event,status
1,6.1,42.2,110019,37941,1,a
2,4.9,0.1,82,194,0,a
3,4.9,0.0,39,97,0,a
4,8.0,22.8,19210,56606,0,a
5,6.5,0.4,9971,3168,0,a
6,5.9,0.2,303,900,0,i
7,5.4,0.6,717,4385,-1,a
8,5.8,50.6,62499,52706,0,a
9,5.2,0.9,1156,4984,-1,a
10,5.5,5.0,3148,57270,0,d
11,5.3,1.6,957,7823,0,a
12,9.5,13.5,83545,38770,0,a
13,7.4,11.8,7101,62845,0,d
14,6.3,1.0,1752,5696,0,a
15,6.8,19.8,62159,75758,0,a
16,6.2,0.2,613,1338,0,a
17,5.8,0.4,553,2472,0,a
18,6.3,0.1,0,455,0,u
19,5.3,0.6,403,3172,0,a
20,5.3,0.1,370,476,0,a
22,5.4,0.0,0,44,0,u
23,5.5,0.0,0,33,0,u
24,5.5,0.0,0,16,0,u
25,7.1,3.1,4749,13854,-1,a
26,7.6,8.5,47815,39120,0,a
27,5.9,0.1,0,784,0,u
31,4.6,19.4,77661,37214,1,a
452,6.7,1.8,4336,6331,0,a
557,6.3,12.3,9717,126353,-1,a
29,4.5,0.1,47,853,0,i
30,4.5,0.0,0,184,0,u
32,4.4,4.9,2237,21765,0,a
33,4.5,0.4,1380,1146,0,a
34,4.5,0.3,33,2707,0,i
35,4.9,0.1,144,383,-1,a
36,4.4,0.5,46,5336,-1,i
37,4.5,0.3,806,1062,0,a
38,4.0,1.5,1530,5113,0,a
39,4.0,0.1,0,449,0,u
41,5.9,1.0,10054,3322,0,a
44,5.4,0.1,0,400,0,u
45,5.4,2.2,5639,7033,0,a
46,5.0,0.3,459,1520,0,a
47,5.0,0.3,1065,1319,0,a
48,4.9,0.0,30,76,0,i
49,5.0,0.0,0,9,0,u
50,4.5,0.6,526,2883,0,a
51,4.5,1.2,2690,8431,0,a
52,5.0,0.0,60,674,0,d
53,5.9,0.4,24959,2323,0,a
54,5.5,0.0,369,145,0,a
55,7.8,2.5,0,9974,0,u
56,5.5,0.2,1327,1448,0,a
160,5.8,0.3,414,2377,0,a
166,6.5,1.4,28525,6294,0,a
582,5.4,0.2,158,1551,0,i
596,4.5,0.1,425,275,0,a
597,5.0,1.9,11701,5311,0,a
606,4.0,0.2,257,770,0,a
607,4.5,0.1,0,592,0,u
611,4.5,0.2,1220,1217,0,a
618,5.9,0.0,16,365,0,i
630,4.5,0.0,148,150,0,a
631,6.0,0.1,738,993,0,a
667,4.0,0.1,5650,535,0,a
57,4.5,3.0,4870,8976,0,a
