id,price,sel_pct,tin,tout,dcost_event,status
1,6.1,42.2,113475,40213,1,a
2,4.9,0.1,88,209,0,a
3,4.9,0.0,41,102,0,a
4,8.0,22.8,20244,58860,0,a
5,6.5,0.4,10472,3367,0,a
6,5.9,0.2,327,955,0,i
7,5.4,0.6,752,4534,-1,a
8,5.8,50.5,65481,55229,0,a
9,5.2,0.9,1232,5170,-1,a
10,5.5,5.0,3172,59696,0,d
11,5.3,1.6,1018,8253,0,a
12,9.5,13.6,88510,40547,0,a
13,7.4,11.8,7190,67907,0,d
14,6.3,1.0,1886,5962,0,a
15,6.8,19.8,65163,78546,0,a
16,6.2,0.2,651,1397,0,a
17,5.8,0.4,585,2576,0,a
18,6.3,0.1,0,480,0,u
19,5.3,0.6,416,3314,0,a
20,5.3,0.1,390,504,0,a
22,5.4,0.0,0,46,0,u
23,5.5,0.0,0,34,0,u
24,5.5,0.0,0,16,0,u
25,7.1,3.1,5260,14558,-1,a
26,7.6,8.5,49544,41898,0,d
27,5.9,0.1,0,837,0,u
31,4.6,19.4,80550,39048,1,a
452,6.7,1.8,4617,6621,0,a
557,6.3,12.3,10215,129300,-1,a
29,4.5,0.1,52,887,0,i
30,4.5,0.0,0,189,0,u
32,4.4,4.9,2319,22529,0,a
33,4.5,0.4,1434,1195,0,a
34,4.5,0.3,36,2796,0,i
35,4.9,0.1,151,399,-1,a
36,4.4,0.5,47,5522,-1,i
37,4.5,0.3,847,1117,0,a
38,4.0,1.5,1617,5324,0,a
39,4.0,0.1,0,477,0,u
41,5.9,1.0,10518,3494,0,a
44,5.4,0.1,0,419,0,u
45,5.4,2.2,5897,7361,0,a
46,5.0,0.3,484,1584,0,a
47,5.0,0.3,1110,1388,0,a
48,4.9,0.0,32,78,0,i
49,5.0,0.0,0,9,0,u
50,4.5,0.6,551,3001,0,a
51,4.5,1.2,2817,8714,0,a
52,5.0,0.0,62,689,0,d
53,5.9,0.4,25707,2519,0,a
54,5.5,0.0,382,155,0,a
55,7.8,2.5,0,10524,0,u
56,5.5,0.2,1401,1511,0,a
160,5.8,0.3,440,2461,0,a
166,6.5,1.4,29629,6650,0,a
582,5.4,0.2,160,1606,0,i
596,4.5,0.1,444,281,0,a
597,5.0,1.9,12111,5573,0,a
606,4.0,0.2,270,804,0,a
607,4.5,0.1,0,622,0,u
611,4.5,0.2,1268,1262,0,a
618,5.9,0.0,17,379,0,i
630,4.5,0.0,160,158,0,a
631,6.0,0.1,781,1023,0,a
667,4.0,0.1,6011,615,0,a
57,4.5,3.0,5136,10216,0,a
58,4.0,3.5,7178,6341,0,a
59,4.0,0.1,0,485,0,u
60,5.5,0.8,2682,2662,0,a
61,5.4,3.0,3935,10696,-1,a
62,4.9,0.2,416,853,-1,a
63,4.9,0.0,18,37,0,i
64,4.5,0.1,352,417,0,a
65,4.4,0.0,29,41,0,i
66,4.0,0.3,651,989,0,a
67,6.3,1.6,3376,8818,-1,a
68,6.1,6.7,71958,37524,0,a
69,6.1,5.7,19974,34367,0,a
70,6.0,0.9,2280,15736,0,i
71,5.0,0.2,236,1030,0,a
72,4.9,0.1,124,332,0,a
