id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,37.9,122900,129857,0,a
2,5.0,0.1,398,800,0,a
3,5.0,0.0,94,292,0,a
4,8.0,26.7,31015,205502,0,a
5,6.5,0.1,373,1773,0,i
6,6.0,0.2,895,4198,0,i
7,5.5,0.7,5896,8234,0,a
8,5.6,43.3,296959,70464,0,a
9,5.4,1.3,3590,23025,0,a
10,5.5,7.2,99135,65272,0,a
11,5.5,5.1,9880,55137,0,a
12,9.5,10.5,72486,57890,0,a
13,7.5,15.1,14812,153218,0,a
14,6.4,1.5,5445,25966,-1,a
15,6.6,11.4,80836,97936,0,a
16,6.4,0.3,888,4932,0,a
17,5.9,0.5,2292,9891,-1,a
18,6.3,0.2,873,4002,-1,a
19,5.4,0.8,2820,12776,-1,a
20,5.4,0.1,471,1367,0,a
22,5.4,0.0,154,242,-1,a
23,5.5,0.0,166,163,0,a
24,5.5,0.0,4,230,0,u
25,7.3,5.3,5649,120490,-1,a
26,7.5,7.1,48165,80530,0,a
27,5.9,0.3,2169,6277,-1,a
31,4.4,10.5,134941,126747,-1,a
452,6.9,2.2,3060,43337,0,a
557,6.5,22.5,76370,328290,0,a
29,4.5,0.1,1667,1573,0,a
30,4.5,0.1,0,1575,0,u
32,4.5,7.2,22465,48742,0,a
33,4.5,0.4,1928,3226,0,a
34,4.5,0.4,2598,2647,0,a
35,5.0,0.1,651,859,0,a
36,4.5,0.7,5525,5118,0,a
37,4.5,0.3,1926,1882,0,a
38,4.0,1.7,10396,11012,0,a
39,4.0,0.2,0,2800,0,u
41,6.0,1.1,8796,14296,0,a
44,5.5,0.1,823,2128,0,a
45,5.5,2.5,9237,27435,0,a
46,5.0,0.2,3184,2466,0,a
47,5.0,0.3,3283,3788,0,a
48,5.0,0.0,108,419,0,i
49,5.0,0.0,0,52,0,u
50,4.5,0.7,5851,6107,0,a
51,4.5,0.9,20066,8041,0,a
52,5.0,0.0,510,587,0,a
53,5.9,0.2,239,3749,-1,i
54,5.5,0.0,56,820,0,s
55,7.8,5.5,4250,185579,-1,u
56,5.5,0.1,2101,1782,0,a
160,5.9,0.5,1696,7841,-1,a
166,6.5,0.8,15163,3545,0,a
582,5.5,0.3,673,6135,0,i
596,4.5,0.1,554,1009,0,a
597,5.0,1.1,16603,6308,0,a
606,4.0,0.1,4681,1120,0,a
607,4.5,0.1,2744,1557,0,a
611,4.5,0.1,4489,1049,0,a
618,6.0,0.0,2396,534,0,a
57,4.5,3.4,28602,20644,0,a
58,4.0,3.3,22025,12601,0,a
59,4.0,0.2,0,1994,0,u
60,5.5,0.9,4539,6959,0,a
61,5.5,3.9,8103,24953,0,a
62,5.0,0.2,1319,2819,0,a
63,5.0,0.0,56,169,0,i
64,4.5,0.1,1098,1281,0,a
65,4.5,0.0,60,276,0,i
66,4.0,0.2,3761,1567,0,a
67,6.5,2.4,7457,38354,0,a
68,6.0,2.3,18148,30375,0,a
69,6.0,1.9,36790,11005,0,a
70,6.0,1.1,6487,14641,0,a
71,5.0,0.2,4466,2482,0,a
72,5.0,0.1,267,1037,0,a
73,5.0,0.2,3878,3279,0,a
74,5.0,0.1,814,629,0,a
75,5.0,0.0,696,343,0,a
76,5.0,0.0,81,159,0,a
77,4.9,0.0,103,468,-1,i
78,7.4,0.2,192,5931,-1,i
79,6.0,3.2,47611,26131,0,a
80,5.5,0.0,0,381,0,u
81,6.0,0.1,944,1292,0,a
566,5.0,0.4,6715,3512,0,a
573,4.5,0.2,252,1523,0,a
608,5.0,0.1,3034,1314,0,a
615,4.5,0.0,989,299,0,a
82,5.0,7.1,62906,34460,0,a
83,4.5,0.1,582,877,0,a
84,5.5,2.2,16140,12440,0,a
85,4.9,0.1,89,1831,-1,i
86,5.5,1.8,57600,14848,0,a
87,4.5,4.7,78848,31783,0,a
88,4.6,9.2,120576,48968,0,a
89,4.5,0.2,383,1329,0,a
90,4.5,0.1,455,587,0,a
92,4.5,0.0,101,188,0,a
93,4.5,0.2,108,889,0,a
94,6.0,3.9,62320,26700,0,a
95,6.5,0.9,2646,17103,0,a
96,5.5,0.5,2170,4644,0,a
97,5.5,0.2,538,4094,0,d
98,5.0,0.6,19874,8685,0,a
99,5.0,0.0,20,23,0,i
100,5.0,0.0,353,240,0,a
102,5.0,1.0,569,11631,0,a
103,5.0,0.0,122,341,0,a
105,6.0,0.2,1072,2199,0,a
106,8.0,14.6,36887,199978,0,a
107,4.5,1.0,17085,8689,0,a
108,5.5,0.4,3582,4798,0,a
565,5.7,12.7,338026,73955,1,a
620,4.5,0.1,7228,2064,0,a
109,4.5,21.6,144650,88908,0,a
111,4.0,4.2,31739,18014,0,a
113,4.4,2.1,8173,19567,-1,a
114,4.5,0.3,3804,2611,0,a
115,4.7,14.2,486551,67379,1,a
116,4.5,1.2,12647,8935,0,a
117,4.5,0.0,171,188,0,a
118,4.5,0.1,415,743,0,a
119,4.5,0.0,239,320,0,a
120,5.0,0.1,576,686,0,a
121,6.0,0.0,97,710,0,i
122,5.9,0.0,69,1412,-1,i
123,6.0,1.5,5395,72395,0,d
124,5.5,14.3,222041,59559,0,a
125,5.5,0.8,3521,17064,0,d
126,5.5,0.1,675,1353,0,a
127,5.0,4.4,89657,31762,0,a
128,5.0,0.0,0,75,0,u
129,5.5,0.5,1338,12911,0,d
130,5.0,0.5,9405,5351,0,a
132,4.5,0.0,0,725,0,u
133,5.0,0.0,0,35,0,u
134,4.5,0.3,2262,2469,0,a
135,5.0,0.1,327,1007,0,a
137,5.5,0.0,56,145,0,i
138,5.5,0.4,14963,3307,0,a
139,5.0,0.0,388,509,0,i
328,5.0,0.2,1042,2412,0,a
504,5.0,2.4,14167,20500,0,a
