id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,41.1,235143,52561,0,a
2,4.9,0.1,158,502,0,a
3,4.9,0.0,68,185,0,a
4,8.0,23.2,40173,95153,0,a
5,6.5,0.3,17017,3137,0,a
6,5.9,0.2,372,1835,0,i
7,5.5,0.6,2829,9373,0,a
8,5.8,50.2,225885,65500,0,a
9,5.3,0.9,2334,13838,0,a
10,5.5,5.7,18083,201715,0,a
11,5.3,1.8,165,73451,-1,a
12,9.5,12.9,168624,52252,0,a
13,7.4,12.5,24534,69271,0,a
14,6.3,1.1,2676,15505,0,a
15,6.8,19.8,271832,104961,1,a
16,6.2,0.2,1028,3179,-1,a
17,5.8,0.4,1210,5644,0,a
18,6.3,0.1,0,1341,0,u
19,5.3,0.6,1316,7966,-1,a
20,5.3,0.1,786,948,0,a
22,5.4,0.0,0,103,0,u
23,5.5,0.0,0,82,0,u
24,5.5,0.0,0,56,0,u
25,7.2,3.2,4153,47557,0,a
26,7.6,8.2,103454,84839,1,a
27,5.9,0.2,0,2075,0,u
31,4.5,18.6,276238,52370,0,a
452,6.7,1.8,14132,8351,-1,a
557,6.4,13.8,32016,227873,0,a
29,4.5,0.1,397,1166,0,d
30,4.5,0.1,0,381,0,u
32,4.4,5.1,3098,99710,-1,a
33,4.5,0.4,2822,4247,0,a
34,4.5,0.3,231,7232,0,d
35,5.0,0.1,429,842,0,a
36,4.5,0.6,530,24019,0,d
37,4.5,0.3,2813,3105,0,a
38,4.0,1.6,6404,11978,0,a
39,4.0,0.1,0,1061,0,u
41,5.9,0.9,4899,18018,0,a
44,5.4,0.1,0,1417,0,u
45,5.4,2.2,15151,19168,0,a
46,5.0,0.3,2155,3285,0,a
47,5.0,0.3,1714,3939,0,a
48,4.9,0.0,55,184,-1,i
49,5.0,0.0,0,19,0,u
50,4.5,0.6,1762,6147,0,a
51,4.5,1.3,12032,13914,0,a
52,5.0,0.1,1360,522,0,a
53,5.9,0.1,1602,854,0,a
54,5.5,0.0,391,280,0,d
55,7.8,2.7,0,29984,0,u
56,5.5,0.2,3203,2425,0,a
160,5.8,0.3,751,6084,-1,a
