id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,39.0,185122,158983,0,a
2,4.9,0.1,249,699,-1,a
3,4.9,0.0,93,261,-1,a
4,8.0,24.3,42421,187847,0,a
5,6.5,0.1,555,1189,0,d
6,5.9,0.2,667,2901,-1,i
7,5.5,0.7,5663,8433,0,a
8,5.8,48.5,369350,68985,1,a
9,5.3,1.1,3116,15179,-1,a
10,5.5,7.6,92370,88094,0,a
11,5.4,3.0,674,140665,-1,d
12,9.5,11.5,156212,110118,0,a
13,7.4,13.3,20756,113748,-1,a
14,6.4,1.2,3262,23459,0,a
15,6.7,16.4,545049,84744,1,a
16,6.3,0.2,1277,3549,0,a
17,5.9,0.4,1612,8244,0,a
18,6.3,0.1,0,5498,0,u
19,5.4,0.7,1299,9929,0,a
20,5.3,0.1,517,1088,-1,a
22,5.4,0.0,0,289,0,u
23,5.5,0.0,0,235,0,u
24,5.5,0.0,0,91,0,u
25,7.2,3.9,5230,74144,-1,a
26,7.5,7.8,146482,57784,0,a
27,5.9,0.2,0,6898,0,u
31,4.4,15.0,467652,75051,0,a
452,6.8,1.8,1831,30202,0,a
557,6.4,16.6,60319,300486,-1,a
29,4.5,0.1,807,1273,0,a
30,4.5,0.1,0,783,0,u
32,4.5,6.5,17942,58972,0,d
33,4.5,0.4,3362,1869,0,a
34,4.5,0.4,2233,4210,0,a
35,5.0,0.1,559,898,0,a
36,4.5,0.8,10441,4863,0,a
37,4.5,0.3,3095,1571,0,a
38,4.0,1.7,9967,13445,0,a
39,4.0,0.2,0,1766,0,u
41,5.9,1.0,9718,16242,-1,a
44,5.4,0.1,0,3966,0,u
45,5.4,2.3,13156,24738,0,a
46,5.0,0.3,3840,2759,0,a
47,5.0,0.3,2862,3656,0,a
48,5.0,0.0,87,221,0,i
49,5.0,0.0,0,19,0,u
50,4.5,0.7,5686,6580,0,a
51,4.5,1.3,39097,16894,0,a
52,5.0,0.0,395,554,0,a
53,5.9,0.1,360,1525,0,i
54,5.5,0.0,104,418,0,s
55,7.8,3.2,0,105135,0,u
56,5.5,0.2,3406,2205,0,a
160,5.9,0.4,1270,6841,0,a
166,6.5,1.2,30408,13889,0,a
582,5.5,0.3,296,4382,0,i
596,4.5,0.1,208,931,0,a
597,5.0,1.7,60157,13234,0,a
606,4.0,0.2,2298,1416,0,a
607,4.5,0.1,0,2604,0,u
611,4.5,0.2,2695,1746,0,a
618,6.0,0.0,881,1660,0,i
630,4.5,0.0,524,217,0,a
631,6.0,0.1,2334,1179,0,a
57,4.5,3.3,20738,27165,0,a
58,4.0,3.5,26613,15385,0,a
59,4.0,0.1,0,1270,0,u
60,5.5,0.8,5552,7851,0,a
61,5.5,3.4,8477,35480,0,a
62,5.0,0.2,1000,2188,0,a
63,5.0,0.0,54,135,0,i
64,4.5,0.1,1063,1323,0,a
65,4.4,0.0,83,191,-1,i
66,4.0,0.3,3186,2150,0,a
67,6.4,2.0,6051,32151,-1,a
68,6.0,3.5,127003,37007,0,a
69,6.1,5.3,293076,42543,1,a
70,6.0,1.0,6160,15686,0,a
71,5.0,0.2,1713,2675,0,a
72,4.9,0.1,317,819,-1,a
73,5.0,0.3,4436,2824,0,a
74,5.0,0.1,571,637,0,a
75,5.0,0.0,799,436,0,a
76,5.0,0.0,59,160,0,a
77,4.9,0.0,40,257,0,i
78,7.4,0.2,165,2778,0,i
79,6.0,3.2,35931,34156,0,a
80,5.5,0.0,0,189,0,u
81,6.0,0.1,1022,1372,0,a
566,5.0,0.4,3741,4447,0,a
573,4.5,0.2,210,1229,0,a
608,5.0,0.1,2658,1473,0,a
615,4.5,0.0,604,417,0,a
82,5.0,6.7,26682,43129,0,a
83,4.5,0.1,473,796,0,a
84,5.5,1.6,1209,55781,0,i
85,4.9,0.1,60,1051,0,i
86,5.5,2.1,20537,24048,0,a
87,4.5,4.7,39106,73808,0,a
88,4.6,8.9,38358,85561,0,a
89,4.5,0.2,252,1513,0,a
90,4.5,0.1,245,567,0,a
92,4.5,0.0,87,191,0,a
93,4.5,0.1,437,512,0,a
94,6.0,3.7,20871,62392,0,a
95,6.4,0.7,1009,16407,-1,a
96,5.5,0.5,4153,3404,0,a
97,5.5,0.1,26,3335,0,i
98,5.0,2.0,124068,26623,0,a
99,5.0,0.0,21,25,0,i
100,5.0,0.0,285,273,0,a
102,4.9,0.8,599,12077,0,a
103,5.0,0.0,26,517,0,i
105,6.0,0.1,553,1961,0,a
106,7.9,11.4,17838,236520,-1,a
107,4.5,1.1,15215,11187,0,a
108,5.5,0.4,2224,4629,0,a
565,5.7,13.4,88854,235158,0,a
620,4.5,0.1,1425,1626,0,a
109,4.5,22.3,176727,138502,0,a
111,4.0,4.3,33534,25135,0,a
113,4.4,1.8,4589,18349,0,a
114,4.5,0.3,1666,2145,0,a
115,4.8,21.1,431281,92683,1,a
116,4.5,1.3,13345,7310,0,a
117,4.5,0.0,133,185,0,a
118,4.5,0.1,0,1679,0,u
119,4.5,0.0,155,239,0,a
120,5.0,0.1,679,752,0,a
121,5.9,0.0,66,399,-1,i
122,5.9,0.0,28,608,0,i
123,6.0,1.0,944,33745,0,d
124,5.6,16.3,212631,142965,1,a
125,5.5,0.6,859,13955,0,d
126,5.5,0.1,749,1139,0,a
127,5.0,4.8,73477,73473,0,a
128,5.0,0.0,0,34,0,u
129,5.4,0.4,1476,4610,0,a
130,5.0,0.3,55,15558,0,i
132,4.5,0.0,0,473,0,u
133,5.0,0.0,0,17,0,u
134,4.5,0.3,1822,2522,0,a
135,4.9,0.1,309,959,-1,i
137,5.5,0.0,61,113,0,i
138,5.5,0.5,11639,6243,0,a
139,5.0,0.0,299,427,0,i
328,5.0,0.2,1070,1844,0,a
504,5.0,3.2,94776,30372,0,a
594,6.0,0.2,2227,4064,0,a
600,5.0,0.0,110,223,0,a
605,4.5,3.1,136627,43582,0,a
614,4.5,0.0,331,478,0,a
624,5.0,0.0,0,37,0,u
639,5.5,0.0,423,150,0,a
652,5.5,0.0,97,47,0,d
28,5.0,5.1,88924,39269,0,a
40,7.6,31.6,755721,98945,1,a
101,4.9,0.0,130,449,-1,i
136,5.9,0.8,5861,10500,0,a
140,4.9,1.0,0,35198,0,u
141,5.0,0.0,0,86,0,u
142,5.4,7.7,39874,69231,-1,a
143,5.5,0.1,0,1147,0,u
144,5.0,1.1,5827,10970,0,a
145,5.0,0.1,6377,1548,0,a
146,4.5,0.0,0,209,0,u
148,4.5,0.9,38725,11780,0,a
149,4.9,1.1,3930,17111,-1,a
150,4.5,0.0,0,848,0,u
151,4.5,0.4,4338,3435,0,a
152,5.4,1.0,394,28215,0,d
154,9.7,25.0,614716,86355,1,a
156,6.5,1.4,21569,12578,0,a
157,6.4,0.8,3202,11092,0,a
158,5.9,0.0,217,389,0,a
159,5.4,1.5,1277,35621,0,i
161,5.0,0.2,5930,3184,0,a
163,4.5,0.1,0,3447,0,u
164,5.4,0.0,137,506,0,a
165,7.7,73.0,286443,86890,0,a
168,5.0,0.3,0,7132,0,u
169,4.5,0.4,5902,4560,0,a
170,5.0,0.1,1697,2325,0,i
200,6.0,8.1,43797,61057,0,a
560,4.5,0.1,227,610,0,a
561,4.5,0.0,175,167,0,a
568,5.5,0.1,638,1155,0,a
583,4.9,0.2,479,1667,-1,a
91,4.5,0.1,504,576,0,a
104,4.9,0.1,468,1228,-1,a
110,4.5,0.9,3770,11756,0,a
171,4.0,1.2,0,14165,0,u
172,4.5,0.4,194,1710,0,a
173,4.0,9.0,101873,62202,0,a
174,4.0,0.4,0,8228,0,u
175,4.0,10.8,23790,103401,0,a
176,4.0,0.7,1739,3421,0,a
177,4.0,0.0,89,511,0,i
178,4.0,0.1,508,610,0,a
179,4.0,0.0,212,278,0,a
180,4.0,0.1,283,1436,0,i
181,4.0,0.0,0,355,0,u
182,4.0,0.8,2629,4220,0,a
183,5.0,0.1,712,1312,0,a
184,5.0,0.1,401,1868,0,a
185,4.9,0.1,173,859,0,a
186,5.4,0.1,170,732,0,a
187,4.9,0.0,69,228,0,i
188,5.4,0.1,47,1160,0,a
189,4.5,0.2,1045,2215,0,a
190,5.4,0.1,164,1102,-1,a
191,4.5,0.1,0,2651,0,u
192,4.5,0.4,0,6148,0,u
193,5.4,0.1,107,1500,0,i
194,5.0,0.8,8772,9568,0,a
195,5.0,0.8,4331,10294,0,a
196,5.0,0.0,0,108,0,u
197,4.5,0.0,0,298,0,u
492,5.5,0.7,5344,7211,0,a
575,4.9,0.2,479,2396,-1,a
584,5.4,0.1,114,957,-1,a
599,5.0,0.1,1033,1232,0,a
623,4.0,0.5,26068,6050,0,a
655,5.5,0.0,35,5,0,a
42,5.5,0.0,774,774,0,a
153,4.5,0.1,4472,1760,0,a
198,5.0,2.0,21799,12519,0,a
199,4.5,0.1,438,747,0,a
202,5.0,0.7,6143,6478,0,a
203,4.9,0.2,1830,3142,0,a
204,4.5,6.3,170967,33254,0,a
205,4.5,0.0,0,573,0,u
206,4.4,0.0,45,519,0,i
207,4.4,0.1,480,716,0,a
208,6.3,0.8,144,27225,0,i
210,5.5,0.9,6670,8048,0,a
211,5.5,0.4,22195,5918,0,a
212,4.5,8.6,20663,81590,0,a
213,4.9,0.1,246,832,0,a
214,5.0,0.4,11819,4291,0,a
215,5.0,0.0,0,223,0,u
216,5.0,0.0,0,826,0,u
217,4.9,0.0,57,513,0,a
218,4.9,0.1,390,734,0,a
219,4.9,0.0,55,105,-1,u
220,4.5,0.0,0,13,0,u
221,4.5,0.1,711,817,0,a
222,6.0,0.6,10400,6547,0,a
223,6.4,1.8,263,55070,0,i
224,5.5,0.7,21538,6756,0,a
225,5.0,0.0,0,0,0,u
241,5.4,0.1,367,1363,-1,a
555,4.0,1.8,3768,5828,0,a
577,4.5,0.3,467,2437,0,a
588,5.0,0.3,12038,3318,0,a
595,5.0,0.0,89,143,0,a
633,4.5,0.0,558,120,0,a
643,4.5,0.4,25898,3832,0,a
644,5.0,0.0,1343,344,0,a
647,5.5,0.0,332,83,0,a
21,4.9,0.1,77,989,0,i
209,5.9,0.1,863,1657,0,a
226,5.5,8.6,51531,52750,0,a
227,5.0,0.0,312,326,0,a
228,4.5,0.0,227,299,0,a
229,6.0,11.4,125120,69944,0,a
230,5.5,1.9,26463,15747,0,a
231,4.9,0.9,980,12238,0,a
232,4.9,0.3,499,3351,0,a
233,4.5,1.9,49337,27064,0,a
234,4.5,0.0,0,615,0,u
235,4.0,0.1,0,2513,0,u
236,6.5,4.5,99937,73142,0,a
238,6.5,0.4,12415,4885,0,a
239,6.0,0.1,1805,3149,0,d
242,5.5,0.5,35151,9397,0,a
243,5.0,0.1,464,988,0,a
244,5.0,0.4,10052,6896,0,a
245,5.4,0.0,180,373,0,a
246,5.0,0.0,450,757,0,a
247,5.5,0.2,1206,1499,0,a
248,5.4,1.0,0,50018,0,u
249,5.6,5.9,199208,84537,1,a
649,4.5,0.2,12623,2525,0,a
654,4.5,0.1,7691,1542,0,a
250,4.5,3.0,15073,24816,0,a
251,4.0,1.2,6163,5117,0,a
252,4.0,0.1,0,1491,0,u
253,5.0,0.1,1500,2240,0,a
254,4.5,1.4,3651,19035,0,a
255,4.5,0.0,79,448,0,a
256,4.4,0.2,169,1717,-1,a
257,4.5,0.7,1706,7290,0,a
258,4.5,0.8,4904,12026,0,a
261,5.4,0.8,1805,11677,-1,a
262,5.4,0.3,656,3656,-1,a
263,5.4,0.0,199,837,0,a
264,5.5,0.3,1724,4579,0,a
265,5.0,0.3,543,3728,0,a
266,5.0,0.0,26,42,0,i
268,5.5,1.1,63701,24772,0,a
269,4.5,0.3,222,3177,0,a
270,4.5,1.2,2910,11665,0,a
271,5.4,0.4,2708,5774,-1,a
272,4.5,6.2,28025,58737,0,a
569,6.0,4.1,31590,78348,0,a
570,5.5,0.2,1180,1502,0,a
580,5.0,0.1,252,670,0,a
610,4.0,0.1,515,991,0,d
626,4.5,0.4,10105,5361,0,a
635,5.0,0.0,217,60,0,a
636,5.0,0.0,110,47,0,a
650,4.5,0.0,220,83,0,a
240,5.0,0.0,273,169,0,a
273,4.0,1.5,6909,7304,0,a
274,4.5,0.1,109,695,0,i
275,4.0,0.0,0,54,0,u
276,4.0,0.0,0,162,0,u
277,4.1,6.3,185984,50761,1,a
278,4.0,0.1,116,922,0,i
279,4.1,11.9,260316,57330,0,a
280,4.0,0.6,5868,2863,0,a
281,4.0,0.1,0,1308,0,u
282,4.0,1.5,42388,10823,0,a
283,4.0,0.0,0,100,0,u
284,4.0,0.1,667,775,0,a
285,4.0,0.1,384,914,0,a
286,5.0,1.0,19897,8450,0,a
287,5.0,0.0,0,2100,0,u
288,4.5,0.3,2370,3706,0,a
289,4.5,0.5,1323,6987,0,a
290,4.5,5.3,117326,64890,0,a
291,4.5,0.0,90,93,0,i
292,4.9,0.0,239,258,0,a
293,5.0,0.0,0,40,0,u
294,4.5,0.1,851,887,0,a
295,5.5,1.9,17164,30241,0,a
296,5.0,0.0,522,737,0,a
297,4.5,0.0,86,224,0,i
298,4.5,0.2,0,3081,0,u
299,4.5,0.0,0,415,0,u
340,5.0,0.0,150,130,0,a
556,4.0,1.9,3600,14604,0,a
563,5.0,0.0,118,370,0,i
572,4.6,9.7,188520,48723,0,a
574,4.9,0.1,369,660,-1,a
576,5.0,0.1,463,768,0,a
585,4.0,0.6,1465,3449,0,a
586,4.1,8.0,258099,49234,1,a
589,5.0,0.0,140,211,0,a
617,5.0,0.0,286,149,0,a
632,5.0,0.0,2635,1112,0,i
637,5.0,0.0,2568,617,0,a
638,4.0,0.3,12276,2787,0,a
642,5.5,0.0,718,214,0,a
645,5.0,0.0,231,65,0,a
259,4.0,14.5,26506,104549,0,a
267,5.0,0.1,556,1031,0,a
300,4.5,0.4,188,2070,0,a
301,4.0,4.2,18003,24163,0,a
302,4.0,0.5,10797,3813,0,a
303,4.0,0.5,445,2993,0,a
304,4.0,3.0,11825,29496,0,a
305,4.0,5.1,31908,45797,0,a
306,4.0,1.2,1400,6519,0,a
307,4.0,0.1,0,1902,0,u
308,4.0,0.5,300,2741,0,a
309,5.0,0.1,301,1460,0,a
310,4.9,0.0,24,33,-1,d
311,5.0,0.0,0,32,0,u
312,4.5,0.0,133,369,0,i
313,5.5,0.2,352,2696,0,a
314,4.9,0.0,0,253,0,u
315,5.5,0.2,1419,1808,0,a
316,5.5,1.7,20243,19064,0,a
317,5.0,0.1,0,1593,0,u
318,5.4,0.1,17,1136,0,d
319,5.0,0.0,0,70,0,u
320,5.0,1.2,28700,14814,0,a
321,4.5,3.4,63278,43567,0,a
322,5.0,0.1,0,1307,0,u
323,4.5,1.2,5764,10477,0,a
324,4.9,0.0,82,404,0,a
554,4.5,0.0,0,249,0,u
562,5.4,0.3,678,3302,-1,a
564,4.5,0.6,3980,3617,0,a
571,4.9,0.1,278,843,0,a
591,5.5,0.9,19688,11265,0,a
592,4.0,0.9,2155,4032,0,a
602,4.5,0.0,0,851,0,u
619,5.0,0.0,1890,728,0,a
640,5.5,0.0,1862,504,0,a
260,6.3,3.0,2491,93368,-1,a
326,4.5,0.4,0,5549,0,u
327,5.0,0.8,3457,11328,0,a
329,4.4,1.4,131,79885,-1,i
330,4.5,1.8,85935,16607,0,a
331,4.5,0.1,815,398,0,a
332,4.5,1.5,18232,15380,0,a
333,4.5,0.0,0,30,0,u
334,5.0,3.6,89344,47450,0,a
335,6.0,2.8,22116,36687,0,a
336,5.9,0.3,1496,4579,0,a
337,5.4,0.6,837,8265,-1,a
338,5.5,1.0,1951,12401,0,a
339,4.9,0.1,550,1394,-1,a
341,5.0,0.0,0,378,0,u
342,5.0,0.0,0,10,0,u
343,5.0,0.1,597,1484,0,a
344,5.0,0.0,11,45,0,d
345,4.9,0.2,4551,2364,0,a
346,6.0,22.8,74512,339614,0,a
347,5.4,0.5,4866,5644,-1,a
348,5.0,0.1,0,1246,0,u
349,4.5,0.1,627,797,0,i
