id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,39.1,226611,196209,0,a
2,4.9,0.1,266,807,-1,a
3,4.9,0.0,104,294,-1,a
4,8.0,23.9,50617,232463,0,a
5,6.5,0.1,597,1329,0,d
6,5.9,0.2,721,3141,-1,i
7,5.5,0.7,6566,10276,0,a
8,5.8,49.2,449286,84896,1,a
9,5.3,1.0,3654,18076,-1,a
10,5.5,7.6,113046,107437,0,a
11,5.4,2.5,706,182584,-1,d
12,9.5,11.6,190905,135225,0,a
13,7.4,13.0,24324,140511,-1,a
14,6.3,1.2,3713,27870,-1,a
15,6.7,18.2,728101,105207,1,a
16,6.3,0.2,1368,4211,0,a
17,5.8,0.4,1827,9388,-1,a
18,6.3,0.1,0,5973,0,u
19,5.4,0.7,1440,11988,0,a
20,5.3,0.1,597,1276,-1,a
22,5.4,0.0,0,323,0,u
23,5.5,0.0,0,256,0,u
24,5.5,0.0,0,106,0,u
25,7.2,3.7,5874,90560,-1,a
26,7.5,8.0,180401,70946,0,a
27,5.9,0.2,0,7476,0,u
31,4.5,16.6,629412,88802,1,a
452,6.8,1.7,2200,35718,0,a
557,6.4,15.9,75275,369847,-1,a
29,4.5,0.1,963,1531,0,a
30,4.5,0.1,0,889,0,u
32,4.5,6.1,18519,86768,0,d
33,4.5,0.4,4743,2311,0,a
34,4.5,0.4,3410,5138,0,a
35,5.0,0.1,656,1045,0,a
36,4.5,0.8,15282,6271,0,a
37,4.5,0.3,4520,1952,0,a
38,4.0,1.7,11855,16098,0,a
39,4.0,0.1,0,2060,0,u
41,5.9,1.0,13911,20080,-1,a
44,5.4,0.1,0,4514,0,u
45,5.4,2.3,18225,30579,0,a
46,5.0,0.3,4797,3455,0,a
47,5.0,0.3,3405,4345,0,a
48,5.0,0.0,102,254,0,i
49,5.0,0.0,0,21,0,u
50,4.5,0.7,6414,8080,0,a
51,4.5,1.3,48908,20847,0,a
52,5.0,0.0,469,671,0,a
53,5.9,0.1,520,1705,0,d
54,5.5,0.0,123,493,0,s
55,7.8,3.0,0,119517,0,u
56,5.5,0.2,3964,2641,0,a
160,5.9,0.4,1451,8148,0,a
166,6.5,1.3,42007,16971,0,a
582,5.5,0.3,347,5409,0,i
596,4.5,0.1,257,1161,0,a
597,5.0,1.9,76280,17042,0,a
606,4.0,0.2,2728,1661,0,a
607,4.5,0.1,0,2832,0,u
611,4.5,0.2,3684,2077,0,a
618,6.0,0.0,890,1992,0,i
630,4.5,0.0,611,250,0,a
631,6.0,0.1,2650,1467,0,a
57,4.5,3.2,25171,33982,0,a
58,4.0,3.6,35661,18979,0,a
59,4.0,0.1,0,1507,0,u
60,5.5,0.8,7277,9742,0,a
61,5.5,3.4,11454,42653,0,a
62,5.0,0.2,1212,2512,0,a
63,5.0,0.0,67,154,0,i
64,4.5,0.1,1371,1624,0,a
65,4.4,0.0,95,213,-1,i
66,4.0,0.3,3912,2546,0,a
67,6.4,1.9,7719,38893,-1,a
68,6.0,3.7,159496,46673,0,a
69,6.1,5.9,356554,53989,1,a
70,6.0,1.0,7771,19134,0,a
71,5.0,0.2,1996,3247,0,a
72,4.9,0.1,375,964,-1,a
73,5.0,0.3,5253,3358,0,a
74,5.0,0.1,713,804,0,a
75,5.0,0.0,1010,523,0,a
76,5.0,0.0,67,193,0,a
77,4.9,0.0,49,312,0,i
78,7.4,0.2,189,3139,0,i
79,6.0,3.3,44720,41934,0,a
80,5.5,0.0,0,211,0,u
81,6.0,0.1,1177,1571,0,a
566,5.0,0.4,5072,5552,0,a
573,4.5,0.2,263,1487,0,a
608,5.0,0.1,3155,1769,0,a
615,4.5,0.0,712,500,0,a
82,5.0,6.6,31941,53600,0,a
83,4.5,0.1,576,973,0,a
84,5.5,1.4,1241,71270,0,i
85,4.9,0.1,67,1200,0,i
86,5.5,2.1,24666,29986,0,a
87,4.5,4.6,47864,93051,0,a
88,4.6,8.8,47684,102662,0,a
89,4.5,0.2,290,1841,0,a
90,4.5,0.1,292,668,0,a
92,4.5,0.0,99,217,0,a
93,4.5,0.1,774,658,0,a
94,6.0,3.6,25784,78974,0,a
95,6.4,0.6,1255,20952,-1,a
96,5.5,0.5,5251,4431,0,a
97,5.4,0.1,37,3974,-1,i
98,5.0,2.3,159579,33770,0,a
99,5.0,0.0,25,31,0,i
100,5.0,0.0,317,315,0,a
102,4.9,0.7,673,14963,0,a
103,4.9,0.0,36,605,-1,i
105,6.0,0.1,703,2363,0,a
106,7.9,10.8,22067,293646,-1,a
107,4.5,1.1,17790,13447,0,a
108,5.5,0.3,2617,5542,0,a
565,5.7,12.9,100486,287546,0,a
620,4.5,0.1,1786,1859,0,a
109,4.5,22.3,222955,175261,0,a
111,4.0,4.3,43431,30854,0,a
113,4.4,1.8,6089,23045,0,a
114,4.5,0.3,2162,2768,0,a
115,4.8,22.5,566789,116289,1,a
116,4.5,1.4,17750,9460,0,a
117,4.5,0.0,163,215,0,a
118,4.5,0.0,0,1900,0,u
119,4.5,0.0,184,300,0,a
